Project Name,Sector,Donor,Date of Agreement,Completion Date,Commitments (USD),Disbursements (USD)
TA 8173-NEP: Supporting the Strengthening of Public Management Program,LOCAL DEVELOPMENT,European Union, -, -,3119800,7115687
TA 8272-NEP: Sub regional Electricity Transmission Capacity Enhancement,ELECTRICITY,Asian Development Bank, -,42184,0,193203
TA 8286-NEP: Portfolio Management Capacity Enhancement,FINANCIAL REFORM,Asian Development Bank, -,42916,0,825000
Feasibility and Effectiveness in Implementing TeacherCorps for Children's Mental Health Promotion & Violence Prevention,EDUCATION,HealthRight International,42466,43159,486094,111664
TA 7935-NEP: Capacity Development for School Sector Reforms,EDUCATION,Asian Development Bank,41016,42460,0,812797
Bagmati River Basin Improving Project,ENVIRONMENTAL PROTECTION,Asian Development Bank, -, -,30000000,23452916
Japan Debt Relief Fund,EXTERNAL LOAN PAYMENT,Japan, -, -,0,8689447
Reconciliation in host communities where ex-combatants have settled,PEACE AND RECONSTRUCTION,41107, -,2303882,2439508, -
Governance Training to Local Government in Nepal -LDTA,LOCAL DEVELOPMENT,41276,41669,778244,1187088, -
Enhancing Media support for reduction of violence against Women Women  CHILDREN & SOCIAL WELFARE,41289, -,864095,713225, -, -
District-wide Implementation of Maternal and Neonatal Near Miss Reviews in Nepal: An Implementation Research Study to Inform Scale-up,HEALTH,World Health Organization,41774,42521,243520,243520
Sikta Irrigation project,IRRIGATION,Saudi Development Fund, -, -,0,374974
Disaster Relief Response,EARTHQUAKE RECONSTRUCTION,Nepal Youth Foundation,42556,42766,1706963,1520186
School Building Construction : Gorkha,EARTHQUAKE RECONSTRUCTION,Nepal Youth Foundation,42786,43100,237464,248960
Improving the Educational health and livelihood situation of children and youth in Nepal (2017-2022),EDUCATION,Nepal Youth Foundation,43255,45080,10813557,3829335
Improving the Educational health & Livelihood situation of children & youth in Nepal.,EDUCATION,Nepal Youth Foundation,41754,43030,13403886,12049201
ENBAITA,AGRICULTURE,International Development Enterprise/IDE,42278,43373,1019983,116758
Anukulan - X,AGRICULTURE,International Development Enterprise/IDE,43101,43646,2293819,1968226
Market Access and Water Technology for Women (MAWTW),AGRICULTURE,International Development Enterprise/IDE,41548,42369,493176,0
Peace Rights and Governance Program  IV (2014-18),PEACE AND RECONSTRUCTION,Denmark,41624,43465,36853452,9549924
Public Finance Management (PFM) reforms in Nepal,OFF BUDGET,European Union,41614, -,13666803,0
SASEC Road Connectivity Project (Road Component),ROAD TRANSPORTATION,Asian Development Bank,41567,43646,58000000,41700482
Pro-poor Urban Regeneration Pilot Project,URBAN DEVELOPMENT,World Bank Trust Funds,41680,43008,2750000,1814306
Combating Commercial Sexual Exploitation of Children: Preventing and Protecting Children against Online Sexual Abuse in Nepal,Women  CHILDREN & SOCIAL WELFARE,ECPAT Luxembourg Nepal,42380,43476,0,287333
Combating Commercial Sexual Exploitation of Children: Preventing and Protecting Children against Online Sexual Abuse in Nepal,OFF BUDGET,ECPAT Luxembourg Nepal,42380,43476,358208,315303
Combating Commercial Sexual Exploitation of Chldren in Nepal,OFF BUDGET,ECPAT Luxembourg Nepal,42750,43496,0,381560
Combating Commercial Sexual Exploitation of Chldren in Nepal,Women  CHILDREN & SOCIAL WELFARE,ECPAT Luxembourg Nepal,42750,43496,474469,0
Reducing risks of sexual abuse and exploitation among at-risk and vulnerable children,Women  CHILDREN & SOCIAL WELFARE,ECPAT Luxembourg Nepal,40928,42034,287959,243709
Nepal National Armed Police Academy,HOME AFFAIRS,China,41450,42897,32624831,26956161
Nepal-India Regional Trade and Transport Project,COMMERCE,International Development Association,41466,43830,100610400,47781813
Commercial Agriculture Development Project (CADP),AGRICULTURE,Asian Development Bank,39136,41274,18000000,14883668
Project for supporting reconstruction of housing after the devastating earthquake in 3 VDCs of Kavrepalanchok,PEACE AND RECONSTRUCTION,Japan,42572,43152,259995,91384
Project for Community Skill Development to Construct Earthquake Resilient Houses in Dhading District,PEACE AND RECONSTRUCTION,Japan,42533,42929,258723,258723
Project for Maternal and Child health care in West Terai Region,HEALTH,Japan,40450,41909,409792,412676
Nepal Holistic Development Program,FOREST,World Neighbors,41787,43646,117000,137977
Nepal Holistic Development Program (NHDP),LIVELIHOOD,World Neighbors,41773,43646,117000,154624
Holistic Development Project - Nepal (HDP-N),HEALTH,World Neighbors,41773,43646,117000,159754
Holistic Development Project - Nepal (HDP-N) FY 2018 - 19,LOCAL DEVELOPMENT,World Neighbors,41773,43599,117000,151127
Nepal Holistic Development Program(NHDP),HEALTH,World Neighbors,39852,41678,1500000,1098198
Alleviate unemployment by upgrading the relevant Vocational Education Training Providers and Microfinance Institutions (YUWAccess),FINANCIAL SERVICES,European Union,40798,41768,0,229047
SIL Sustainable Language Development in Nepal,EDUCATION,SIL International Nepal,43020,44845,1439387,452166
SIL International Language,EDUCATION,SIL International Nepal,41250,42704,1394515,1027009
Improving Primary School Children's Literacy and Gender Equality in School Education,EDUCATION,Room to Read,43101,44926,13188787,4204794
Nepal Earthquake Emergency Response Programme,OTHERS - SOCIAL,Oxfam GB LBG,42338,42735,25327931,25351645
Nepal Earthquake Recovery Programme,EARTHQUAKE RECONSTRUCTION,Oxfam GB LBG, -,43555,22430203,20210732
International Citizen Service (ICS),YOUTH  SPORTS & CULTURE,Department for International Development,40634,42247,0,90555
Youth Sector Support Programme (YSSP),EDUCATION,Restless Development Nepal,41442,42490,1288697,59269
Youth Sector Support Programme - Phase II (YSSP - II),EDUCATION,Restless Development Nepal,42043,43138,0,1234289
Youth Sector Support Programme - Phase II (YSSP - II),Women  CHILDREN & SOCIAL WELFARE,Restless Development Nepal,42043,43138,3327139,199487
Education and Empowerment of Dalits and Marginalized Youth in Nepal,EDUCATION,Stromme Foundation,41442,43100,4344329,3766872
SEEDS,EDUCATION,Stromme Foundation,43466,44957,4000008,0
Socio-economic empowerment with dignity and sustainability (SEEDS) Nepal and SEEDS II,EDUCATION,Stromme Foundation,40834,43465,4971460,5050384
Community Based Red Panda Conservation in Eastern Nepal,FOREST,Red Panda Network,40758,42369,0,1190543
Post Earthquake Disability Rehabilitation and Inclusion Project (PEDRIP),LIVELIHOOD,CBM Nepal Country Office,42571,43465,2439442,2229707
Inclusive Development for People with Disabilities in Project Area (Nepal),HEALTH,CBM Nepal Country Office,41590,43100,5442323,47832067
Recovery Construction Support Program (CGI sheet Support for roofing) in Manebhanjyang VDC of Okhaldhunga.,OFF BUDGET,Shapla Neer,42250,42277,33918,33918
Water Induced Disaster Risk Reduction,OTHERS - SOCIAL,Shapla Neer,42373,43496,851623,823519
Create Safer Community-Rehabilitation Support and Community DRR Project,EARTHQUAKE RECONSTRUCTION,Shapla Neer,42370,43496,163343,168829
Community Initiatives for Disaster Risk Reduction Project (CIDP) in Chitwan District HOME AFFAIRS,Shapla Neer,40728,42582,563980,292867, -
Shangrila Home Building Project,Women  CHILDREN & SOCIAL WELFARE,Shangrila Home VZW,42487,43216,860797,861399
2018-2023 Shangrila Underprivileged Children Support,Women  CHILDREN & SOCIAL WELFARE,Shangrila Home VZW,43112,44932,248209,374091
Shangrila Underprivileged Children Support,SOCIAL PROTECTION,Shangrila Home VZW,41291,43190,481984,504789
Shangrila Underprivileged Children Support,Women  CHILDREN & SOCIAL WELFARE,Shangrila Home VZW,41291,43190,698570,697532
Community Development and Livelihood Security Project (CLSP),HEALTH,Foundation Nepal in Nepal,42009,42369,202726,200084
Matri Tatha Navajat Shishu Swasthya Pariyojana (MANASHI),HEALTH,FAIRMED,42432,43465,899307,870205
Towards Recovery “UPAKAR Pariyojana”,HEALTH,FAIRMED,42583,43465,412728,409337
Rural Health Improvement Project (RHIP),HEALTH,FAIRMED, -, -,102061,107748
Kapilvastu Maternal and Child Health Improvement Project,Women  CHILDREN & SOCIAL WELFARE,FAIRMED,41442,42537,604356,338137
Supporting Enabling Environment for Development (SEED),PEACE AND RECONSTRUCTION,Search for Common Ground,41278,43103,2278294,5204023
COMMUNITY DRINKING WATER SUPPLY AND SANITATION PROJECT WITH SUPPORT OF THE EDUCATION OF POOR CHILDREN THROUGH THE LONG DISTANCE SPONSORSHIP,EDUCATION,ASIA ONLUS,40021,41846,691000,619938
Organic Farming Promotion Project,AGRICULTURE,ASIA ONLUS,42110,42825,145000,145000
Building back a better future in the most earthquake afflicted areas: Schools and Education as a gateway to the community.,EDUCATION,ASIA ONLUS,42583,43677,978210,978210
DEVELOPMENT OF CLIMATE CHANGE RESILIENT AGRICULTURE IN NEPAL,AGRICULTURE,ASIA ONLUS,43473,44203,304754,100754
Education for hope (expansion),EDUCATION,ChildFund Japan,41845,42460,791943,494422
Education for hope & School for quality Education,EDUCATION,ChildFund Japan,40752,42460,988839,698987
The Sushma Koirala Memorial Hospital Project,HEALTH,Interplast Germany,43607,45433,1623958,0
The Sushma Koirala Memorial Hospital (SKMH) Project,HEALTH,Sushma Koirala Memorial Hospital, -,43434,2421970,0
Third Small Town Water Supply and Sanitation Sector Project,DRINKING WATER,Asian Development Bank,41968,43889,60221000,41510778
Extended Biogas Project (Scaling Up Renewable Energy Program in Low Income Countries -SREP),ALTERNATE ENERGY,World Bank Trust Funds,41967,43769,7900000,1876847
II Phase of Promoting Human Rights: combating trafficking,Women  CHILDREN & SOCIAL WELFARE,Planete Enfants,42583,42947,442252,295587
Promoting Human Rights: combating trafficking,Women  CHILDREN & SOCIAL WELFARE,Planete Enfants,41336,42066,262376,262223
Initiating the development through education-phase II,EDUCATION,Aide et Action Nepal,41478,43303,835060,750416
Helping Earthquake-Affected Livestock in Nepal (HEAL-Nepal),LIVELIHOOD,Heifer International Nepal,42199,42345,885286,757596
Earthquake Recovery: Helping Local Communities Rebuild Livelihoods in Nepal,AGRICULTURE,Heifer International Nepal,42227,43646,2752000,2728502
Earthquake Disaster Funds for Relief Activities,LIVELIHOOD,Heifer International Nepal,42124,42154,524531,524531
Strengthening Smallholder Enterprises of Livestock Value Chain for Poverty Reduction and Economic Growth in Dhading District of Nepal,AGRICULTURE,Heifer International Nepal,43216,44377,216586,140419
Livestock Systems Innovation Labs Project for Enhancing Dairy and Goat Production in Nepal,AGRICULTURE,Heifer International Nepal,43216,44196,673890,601171
Immediate Relief to Storm Victims,OFF BUDGET,Heifer International Nepal,43563,43616,62620,62620
Heifer Project International/Nepal Program  IV,LIVELIHOOD,Heifer International Nepal,40701,42916,22632411,22521946
Evaluating the Welfare Impacts of a Livestock Transfer Program in Nepal,LIVELIHOOD,Heifer International Nepal,42457, -,1425480,1435645
At Risk Children Refuge Programme,Women  CHILDREN & SOCIAL WELFARE,Child Rescue Nepal,40591,42141,1346660,1233685
Re-establishing quality Obstetric and Newborn Care Services in two Hospitals in Earthquake affected Districts of Nepal.,HEALTH,Jhpiego Corporation,42366,42735,109000,101038
Restoring FP counseling and services for earthquake-affected women and couples in Sindhupalchowk district of Nepal,HEALTH,Jhpiego Corporation,42458, -,100000,95000
Integrating Family Planning Program and Helping Mother Survive in rural Nepal,HEALTH,Jhpiego Corporation,41760,42109,100000,96517
Partnership for Holistic Community Development,GENERAL PUBLIC SERVICE,dZi Foundation,43438, -,3212492,759475
The Sagarmatha Deep Development Initiative (SDDI),OTHERS - SOCIAL,dZi Foundation,41424,43249,3181537,3232070
Standard and RoughRider Wheelchairs and Assessment Training,HEALTH,Latter-day Saint Charities,41816,42369,31388,29608
Community Water Supply  Sanitation  Health and Rehabilitation Project,Women  CHILDREN & SOCIAL WELFARE,Latter-day Saint Charities,43119,44214,1172178,620578
Community Water Supply  Sanitation  Health and Rehabilitation Project,Women  CHILDREN & SOCIAL WELFARE,Latter-day Saint Charities,41588,43413,659405,968808
Information and Communication Technology Development Project (ICTDP),COMMUNICATIONS,Asian Development Bank,39591,41820,25000000,21310414
Banepa polytechnic school,EDUCATION,China,38716, -,1028099,1316644
Donation of security equipment,HOME AFFAIRS,China, -, -,3831135,4241228
Nepal Health Communication Capacity Collaborative (Nepal HC3),HEALTH,U.S. Agency for International Development,42117,43008,10000000,10000000
Nepal Nutrition Intervention Project-Sarlahi,HEALTH,Johns Hopkins University,43438,45264,2229165,0
Procurement of vaccines (Pentavalent),HEALTH,Global Alliance for Vaccines and Immunisation,39351,40908,34094614,29035182
Medium and Large Development Projects (Aid to Nepal),ROAD TRANSPORTATION,India, -, -,6447065,141756128
Nepal Nutrition Intervention Project-Sarlahi,HEALTH,Johns Hopkins University,41831,43657,4588556,4735356
Nepal Round 10 Proposal to Contribute to the Achievement of Millennium Development Goals 4,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,40898,41835,11396254,9790141
Nepal Round 10 Proposal to Contribute to the Achievement of MDGs,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,40904,41835,19698843,25995380
Expansion of malaria prevention and control to At-Risk populations in Nepal 2010-2016 N,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,41219,41470,4180346,3984314
Implementation of Stop TB Strategy (2010-2015),HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,40436,41470,28403176,27504488
Scaling Up Coverage and Quality of HIV & AIDS Prevention targeted to Most at Risk Population and Treatment Care and Support Services to PLHA,HEALTH,United Nations Development Programme,39754,40589,12055386,10941651
Economic and technical cooperation (small projects),OTHERS - ECONOMIC,China,40237, -,249238856,82352331
Institutional Strengthening and Professional Development Support for the Election commission of Nepal,CONSTITUTIONAL BODIES,Government of Australia,39661,41274,30889849,14250264
Koshi Early Recovery Project (KERP),ENVIRONMENT SCIENCE & TECHNOLOGY,United Nations Development Programme,40057,40755,974517,1036937
Support to the Local Governance and Community Development Programme (UN joint project),LOCAL DEVELOPMENT,Department for International Development,39904,41639,4703747,1340776
Strengthening the role of civil society in promoting human rights and democratic reform (CTR 158067),OTHERS - SOCIAL,European Union,39814,40908,283648,169329
Realisation of the rights and the sustainable reintegration of children and youth formerly associated with armed forces and armed groups (CAAFAG) in Nepal (CTR 234074),Women  CHILDREN & SOCIAL WELFARE,European Union,40532,41628,394633,342712
Action for Social Inclusion of Children Affected by Armed Conflict in Nepal (ASIC) - CTR 204215,PEACE AND RECONSTRUCTION,European Union,40179,41275,573066,330866
Rehabilitating Children and Supporting Families and Communities Affected by Armed Conflict in Nepal (CTR 154908),PEACE AND RECONSTRUCTION,European Union,39965,41426,818107,609216
Capacity Building Programme for Protecting Human Rights and Fundamental Freedoms in Nepal (CTR 159300),OTHERS - SOCIAL,European Union,39814,40909,992767,662819
Janajatis Social and Economic Empowerment Project (JANSEEP) - Nepal (CTR 119627),Women  CHILDREN & SOCIAL WELFARE,European Union,39114,40988,1045069,817081
Empowering Women in the Churia to Improve Their Livelihoods (CTR 133412),Women  CHILDREN & SOCIAL WELFARE,European Union,39448,41274,1175900,504378
Promoting Rights of Human rights defenders in Nepal (CTR 234037),OTHERS - SOCIAL,European Union,40527,41623,266951,264131
Influencing policy at national and international level through advocacy for the rights of single women (CTR 158233),Women  CHILDREN & SOCIAL WELFARE,European Union,39927,40840,272702,138996
Prevention of torture in Nepal (CTR 148079),OTHERS - SOCIAL,European Union,39783,40878,761421,511511
Enabling the effective participation of persons with disabilities and their organisations in the peace-building process in Nepal,PEACE AND RECONSTRUCTION,European Union,40179,41275,716332,687492
Community peacebuilding programme through women group empowerment,PEACE AND RECONSTRUCTION,European Union,40179,41275,716332,660558
Women and youth as pillars of sustainable peace (CTR 133463),PEACE AND RECONSTRUCTION,European Union,39448,41274,1175900,818545
Sahaastitwa - Strengthening local cultures to build harmony in Nepal (CTR 206711),OTHERS - SOCIAL,European Union,40278,41192,1214411,1039006
Enhancing cultural diversity for dignity and development of indigenous communities in Nepal (CTR 207231),OTHERS - SOCIAL,European Union,40179,41275,1204981,738551
CTR 228798 Shubha Yatra: Promotion and Protection of Rights of Nepali Migrant Women Women  CHILDREN & SOCIAL WELFARE,European Union,40544,41640,803320,703736, -
Renewable energy project,ALTERNATE ENERGY,European Union,38216,40771,18294022,2684091
Community based land and forest management in the Sagarmatha National Park (CTR 152147),ENVIRONMENT SCIENCE & TECHNOLOGY,European Union,40014,40928,710126,212900
State and non-state partnerships for inclusive justice (CTR 250699),OTHERS - SOCIAL,European Union,40634,42095,707914,614006
Supporting trans-boundary tiger recovery in India and Nepal,ENVIRONMENT SCIENCE & TECHNOLOGY,Zoological Society of London Nepal Office,42415,43646,2255000,2142579
United for Wildlife technology testing sites- Parsa,ENVIRONMENT SCIENCE & TECHNOLOGY,Zoological Society of London Nepal Office,42370,43069,217185,192857
Emergency appeal for Nepal earthquake,EARTHQUAKE RECONSTRUCTION,Zoological Society of London Nepal Office,42124,42855,262095,226985
Strengthening tiger conservation initiatives in Parsa Wildlife Reserve,ENVIRONMENT SCIENCE & TECHNOLOGY,Zoological Society of London Nepal Office,42502,42916,68959,65687
Regina-Pangolin,FOREST,Zoological Society of London Nepal Office,42718,43554,131167,59157
Anti-Poaching Task Force in Chitwan National Park,FOREST,Zoological Society of London Nepal Office,42522,44439,139698,23401
Building a tiger stronghold in Parsa Wildlife Reserve and its buffer zone,FOREST,Zoological Society of London Nepal Office,42612,42979,39204,20891
Strengthening Community Anti-poaching and Ecotourism in the Western Terai Complex,FOREST,Zoological Society of London Nepal Office,42877,44285,534817,1984
Community conservation of Chitwan National Park’s freshwater ecosystems and Gharials,FOREST,Zoological Society of London Nepal Office,42877,44316,517507,1743
Improving food security condition of socio-economically excluded Dalit communities in Far Western Nepal,AGRICULTURE,European Union,40068,40792,1573427,1085550
Improving food security in communities vulnerable to food price volatility (213223),AGRICULTURE,European Union,40006,40734,1973500,1519054
Biodiversity Conservation and Sustainable Management of important Biological landscapes ENVIRONMENT SCIENCE & TECHNOLOGY,Zoological Society of London Nepal Office,41645,43046,723808,558239, -
Food Security Initiative in Nepal (CTR 213101),AGRICULTURE,European Union,39825,40553,1971824,1965520
HELP Food Security (Helping to Enhance Local Productivity for Food Security) CTR 213741,AGRICULTURE,European Union,40006,40734,2659831,1533079
Freed Kamaiyas Livelihood Development Project (CTR 133430),LIVELIHOOD,European Union,39448,41274,1175900,969246
Access for Opportunities (improved socio-economic opportunities for marginalized communities)CTR - 118644,LIVELIHOOD,European Union,39084,40939,1055409,1041811
UNESCAP Technical Assistance to EC-Nepal WTO Assistance Programme,COMMERCE,European Union,39569,40664,472813,295641
UNIDO Technical Assistance to EC-Nepal WTO Assistance Programme,COMMERCE,European Union,39448,40544,2351800,1408055
PRISM - Poverty Reduction of Informal workers in Solid waste Management sector (CTR - 236672),LABOUR,European Union,40664,41760,1941380,1576088
Skill development and employment for the informal sector in Nepal,LABOUR,European Union,40544,41640,2008301,1177212
Establishment and operation of a safe birthing/new born care (SBNBCC) centre and providing outreach mother and child health services in Goljung Village of Rasuwa District (CTR 161797),HEALTH,European Union,39814,41640,302427,172668
Equal access of Dalit women to health services (CTR 161787),HEALTH,European Union,39814,41640,567295,486390
SWASHTHA - Strengthening Water,HEALTH,European Union,39809,41270,697642,502410
Improving maternal and child health in Nepal (CTR 161832),HEALTH,European Union,39845,40939,640779,544637
Support to Health Workforce through Civil Society Engagement (CTR 229739),HEALTH,European Union,40575,41670,1097544,949014
Tackling Human Resources for Health (HRH) Crisis in Nepal through Informed Policy Decisions and Actions (CTR 230024),HEALTH,European Union,40544,41456,1071094,937838
Human Resource for Health mainstreamed in health system,HEALTH,European Union,40581,41676,1634209,1141051
Education for vulnerable and marginalized children in Nepal (CTR 216571),EDUCATION,European Union,40238,41699,680921,659227
Access to education for vulnerable and marginalized groups in Karnali (CTR 216469),EDUCATION,European Union,40179,41821,859599,528978
Enhancing the Capacity of School Aiming to Provide Quality Educational Opportunities for All: Special Focus on Poor and Marginalised Communities in Western Terai Districts (CTR 216441),EDUCATION,European Union,40179,42005,1002865,509257
Promoting quality and inclusive education for out of reach children in Nepal (CTR 216475),EDUCATION,European Union,40238,41791,953289,874861
Nepal District Health Programme,HEALTH,German Development Cooperation (KfW), -, -,5144562,3286240
Strengthening participation of CSOs to improve economic and public finance governance in Nepal (CTR 250605),ECONOMIC AFFAIRS,European Union, -, -,562538,541674
Protecting and mainstreaming informal sector safety nets (PROMISE) (CTR 236676),Women  CHILDREN & SOCIAL WELFARE,European Union,40603,41699,1959769,1641281
Action for sustainable employment through skill enhancement (CTR 250679),LABOUR,European Union,40544,42369,550564,484958
Raising opportunities for rural incomes,LABOUR,European Union,40544,42004,669434,235294
Alleviate unemployment by upgrading skills (CTR 251023),EDUCATION,European Union,40672,41767,736219,647189
Enhancement of sustainable production of lokta handmade paper in Nepal (CTR 152937),INDUSTRY,European Union,39797,41257,1736807,497277
Establishment of a business service centre for women's micro and small enterprises in Nepal (CTR 133415),Women  CHILDREN & SOCIAL WELFARE,European Union,39435,40895,727823,693133
Support for victims of Child Trafficking and children reintegrated with their families,Women  CHILDREN & SOCIAL WELFARE,Umbrella Foundation,42373,44199,977763,349264
Scaling Up Coverage and Quality of HIV & AIDS Prevention targeted to Most at Risk Population and Treatment Care and Support Services to PLHA / Save the Children,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,39640,41379,6538019,4378743
Child Welfare,Women  CHILDREN & SOCIAL WELFARE,Umbrella Foundation,40544,42400,2018499,1781368
Scaling up coverage and quality of HIV AIDS prevention targeted to most at risk populations and treatment care and support services to PLWHA / Family Planning Association,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,39759,41593,6371112,6371112
Scaling up coverage and quality of HIV AIDS prevention targeted to most at risk populations and treatment care and support services to PLHA,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,40706,41593,2229104,241388
Scaling up coverage and quality of malaria prevention and control in targeted high risk districts in Nepal / PSI,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,39652,41532,7024844,6467229
Scaling up coverage and quality of malaria prevention and control in targeted high risk districts in Nepal (2008-2013),HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,39682,41532,2101608,1659549
Detailed Engineering Study for the Upper Seti Hydropower Project,ENERGY,Asian Development Bank,40535,41182,2500000,2498986
Upper Trishuli 3A Hydroelectric Project,ELECTRICITY,China,40602,41865,129241702,85896148
Conservation and sustainable Use of Wetlands in Nepal (CSUWN ),ENVIRONMENTAL PROTECTION,Global Environment Facility,39153,41455,481916,1536407
Micro-Enterprise Development Programme (MEDEP) III,INDUSTRY,Government of Australia,39539,41486,9445388,14090720
Hill Maize Research Project (HMRP) - Phase IV,AGRICULTURE,Swiss Agency for Development and Cooperation,40574,41851,4031376,4026840
District Roads Support Program (DRSP) Phase IV,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,39030,41470,23284793,22479809
Social Safety Nets Project (Nepal Food Crisis Programme),LOCAL DEVELOPMENT,World Bank Trust Funds,39754,40422,68694722,52130531
Power Development Project,ELECTRICITY,International Development Association,37811,39994,170575340,130945981
Urban governance and Development Program:Emerging Town Project,URBAN DEVELOPMENT,International Development Association,40724,42582,7059573,9685372
Urban governance and Development Program:Emerging Town Project,GENERAL PUBLIC SERVICE,International Development Association,40724,42582,11025797,2450000
Kabeli Transmission Project,ELECTRICITY,International Development Association,40721,42735,36752658,17268550
Nepal - India Electricity Transmission and Trade Project,ELECTRICITY,International Development Association,40739,42735,123241407,42656795
Enhanced Vocational Education and Training Project (EVENT),EDUCATION,International Development Association,40724,42307,39750000,35849923
REDD-Forestry and Climate Change,FOREST,World Bank Trust Funds,40051,41639,3400000,3248788
Second Higher Education Project (including JSDF Secondary School Stipend project),EDUCATION,World Bank Trust Funds,39202,41836,65310668,59415651
Education to the Children in Urban Poor Community,EDUCATION,INCLUDED Hongkong Limited,41906,43001,532885,26612
Asia Farmer-to-Farmer (F2F) Program Nepal,AGRICULTURE,Winrock International,41974,43373,880260,880200
Community Health/ Education,DRINKING WATER,Nepal Trust,41838,43503,512485,494316
Samriddha Pahad,LIVELIHOOD,Blueberry Hills Charitable Trust,41147,41837,304008,260262
Improving the health,HEALTH,Kidasha,42398,42399,760300,0
Improving the Health,HEALTH,Kidasha,42398,43860,1482396,326489
Health,HEALTH,Kidasha,40386,42211,0,3429951
Support for Children of Kaski District,Women  CHILDREN & SOCIAL WELFARE,Group for Transcultural Relationship,41611,42369,263529,250671
Project for the development of disadvantaged children and communities in Nepal,EDUCATION,Sunrise Children's Association Inc. Australia/Nepal,41169,42994,2356566,2075468
Project for the development of disadvantaged and vulnerable children in Nuwakot,EDUCATION,Sunrise Children's Association Inc. Australia/Nepal,43131,44956,1235681,368687
Scaling Up Mountain Ecosystem-based Adaptation,FOREST,Mountain Institute,43206,44104,436450,265341
Building Resilient Livelihoods and Ecosystems in Remote Mountain Communities in Nepal (Pragatishil Pahad Project),LOCAL DEVELOPMENT,Mountain Institute,42443,43172,360000,470975
Project: Economic and Social Empowerment of Marginalized Communities through economic empowerment and education support,EDUCATION,IM-Swedish Development Partner,42020,43131,1872701,1730565
Food security and Disaster Risk Reduction Project in western Nepal,SOCIAL PROTECTION,Lutheran World Relief,42030,42766,569019,609803
Nepal Earthquake Response Project in Lamjung and Gorkha districts,Women  CHILDREN & SOCIAL WELFARE,Lutheran World Relief,42261,42991,972362,1004945
Nepal Earthquake Response Project-II Phase,AGRICULTURE,Lutheran World Relief,42696,42855,859056,884905
Livelihood Improvement Project in Nawalparasi,LIVELIHOOD,Lutheran World Relief,43049,43778,692407,428538
Improving Resilience to Disaster Affected Communities through Livelihood Promotion and DRR Project in central and western part of Nepal,YOUTH  SPORTS & CULTURE,Lutheran World Relief,43228,43958,975000,652451
Enhance food security and climate resilience of Vulnerable communities in Nawalparasi,AGRICULTURE,Lutheran World Relief,41724,42819,753779,753991
Recovery,AGRICULTURE,Tear Fund,42186,43220,869812,4549267
Recovery,HOUSING,Tear Fund,42186,43220,4039835,0
Enabling Capacity Building of Marginalized Groups for Improved Livelihoods and Sustained Wellbeing,OFF BUDGET,Tear Fund,41469,42566,566777,662106
Community Owned Biogas for livelihood Enhancements Phase 3,ENVIRONMENTAL PROTECTION,Renewable World UK,41380,42643,264533,315015
Solar MUS-II,DRINKING WATER,Renewable World UK,42156,43555,839603,692236
Hydram-III,ALTERNATE ENERGY,Renewable World UK,42260,42626,107312,107312
Enhancing the Ability of Women to Obtain Comprehensive Abortion Care and Prevent Unwanted Pregnancy,HEALTH,IPAS Nepal,42453,42916,3511702,3542190
Support to National Safe Abortion Program,HEALTH,IPAS Nepal,40375,42200,6749749,6748504
Inspiring young people Nepal,LIVELIHOOD,Chance for Change,41267,42886,639283,340703
USAID’s Early Grade Reading Program in Nepal (EGRP),EDUCATION,U.S. Agency for International Development,41831,43656,53870553,44902700
The project for construction of Primary school,EDUCATION,Japan International Cooperation Agency,42192, -,2000000,2224760
Higher Education Reform Project (HERP),EDUCATION,International Development Association,42100,44012,65000000,40416083
Enhanced Skills for Sustainable and Rewarding Employment (ENSSURE),EDUCATION,Swiss Agency for Development and Cooperation,42389,43496,13428624,8043106
Nepal Vocational Qualification System (NVQS),EDUCATION,Swiss Agency for Development and Cooperation, -, -,5173313,4588799
Enhancing the Capacity of the Himalayan People,HEALTH,Mountain Child,42395,44222,963281,878764
Energy Access and Efficiency Improvement Project (EAEIP),ELECTRICITY,Asian Development Bank,40248,41547,67683104,68840452
Dhading District Community Development Project (DCDP),HEALTH,Foundation for International Development/Relief,41246,43190,572418,516955
Sub Project of Reconstructing Earthquake-Damaged School Building in Dhading District EDUCATION,Foundation for International Development/Relief,42566,42931,202948,422828, -
School Improvement Project (SIP),EDUCATION,Foundation for International Development/Relief,43113,43843,657296,631734
Health,OFF BUDGET,Back To Life,43410,44140,1888945,737135
Adaptation for Smallholders in Hilly Areas(ASHA),FOREST,International Fund for Agricultural Development,42061,44286,24777417,5733002
Establishing Women and Children Service Centres- Additional Financing,HOME AFFAIRS,Asian Development Bank,41907,43373,3500000,223000
